,Challange Name ,Challange Summary ,Breif Potential Considerations,Outcomes Topics
0,A Marketplace for Open Science Projects,"1-Problem:There are many open source projects and tools,and there is no place online for project creators and skilled participants to find each other, mingle, and foster professional relationships to work on interesting open research projects. 2- The Required solution: creating a tool that will enable open science project creators and skilled potential contributors to identify one another and communicate as Project creators will need to explain their projects and level of expertise their need and partcipants would list ther skills and projects they are seeking.","- The tool partcipants develop will run in a web browser, requiring the web page and associated code to be hosted on a server.2-Not everyone will want to create an online account to use your tool, so login credentials could be handled through third partie",Web App & Data Science 
1,Artemis II and You!,"1- Problem: challnge is mainly based on backing to the moon for scientific discovery, economic benefits, and to inspire a new generation of explorers and for acheieving that impacting coummunity is neccessary. 2-The RequiredSolution: Mission would be accomplished through creating a brief scientific , educational and factual video (three minutes or less) that communicates how the development of the Artemis II mission is impacting you and your community. ","1-  video accessible to everyone.2-present information about Artemis II in a new way "" Creatvity"".3-There may be multiple impacts that affect you and/or your community. Consider focusing on one or two that are the most important to you.",Video Editing & Resreach
2,Be a Space Geologist,"1-Problem: Geologists spend much time in studying minerasl ,rocks or earth process, teir period in discovring may take months in the field! , although NASA’s Earth data archives provide satellite and airborne observations that can be used to study all aspects of the Earth system—from locating rare minerals, to observing dust in deserts, or even studying tectonic movement along the San Andreas Fault. 2-The Required Solution: design an app that enables geologists to use NASA’s Earth observation data to conduct research,app could use NASA Earth observation data to provide information about Earth materials such as rocks and minerals, Earth processes such as plate tectonics and erosion, or landscape features such as mountains, rivers, and volcanoes.","1- Geologists could use the app to advance geological research or to predict and/or respond to disasters. Feel free to go “boulder,” as long as your solution features Earth’s geology! 2- Note: Check challnge link, there are many usful resources might benfit you there!",Web/Mobile App & Data Science
3,Building the Space Biology “Model Zoo”,"1-Problem:Unleashing the power of Meachine Learining to boost the Space Biology Researches for more biology and biomedical space exploration.The Required solution: designing a comprehensive database of publicly available biomedical datasets that could be used to pretrain different models for a “model zoo,” and (2) determining relevant publicly available space biology datasets that could then be used to refine the models to investigate specific space biology questions.","1-A model in a space biology “model zoo” uses an existing dataset of thousands of different RNA sequencing biomedical studies. Such a model could be leveraged for any combination of space biology RNA sequencing datasets in the NASA Open Science Data Repository (OSDR) (see Resources tab). However, OSDR has many different data types and it would be useful for the public, multi modal datasets and biological questions.
2- Additionally, it might be interesting to use different transfer learning model architectures to create the model zoo, and note the resulting effects.",Biomedical / Database Design / Data Science / ArtificiaI Intelligence/Machine Learning Model
4,Create a Work of SARt (Synthetic Aperture Radar Art)  ,"1- Problem: SAR (synthetic aperture radar) is a powerful tool for studying our planet and the upcoming NISAR (NASA-ISRO SAR) mission—a joint endeavor between NASA and the Indian Space Research Organisation (ISRO)—will collect data around the world and provide consistent SAR imagery of these Earth processes.The NISAR mission will provide a multitude of new products! A common misconception with radar remote sensing is that the imagery is difficult for people to interpret. 2- The Required solution: developing a publicly accessible work of SARt that portrays the radar imagery in a new, creative way and any digital medium of art is acceptable as a submission: imagery, video, 3D model, music, (a picture of) a diorama, etc , all of those digital mudium should include text description.","1-T he submissions will be judged by NASA experts based on creativity, innovation, and clarity.2-All NASA SAR data are publicly available, but you will need to register for an Earthdata Login Profile (see Resources) for access.3-Beginner SAR users may start with the Uninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) postcards, while more advanced users can explore the UAVSAR and NASA Earthdata search (see Resources).","image/ video/ 3D Model
"
5,Develop the Oracle of DSCOVR,"1-The problem: Predict Geomagnetic storms that can severely impact important systems like GPS and electrical power grids on Earth by DSCOVR Satellite.
2-The Required solution: Develop your own geomagnetic activity forecast using the data from DSCOVR ( May be correct and has some faults ) to predict geomagnetic storms on Earth","1-Level 1 data: The Quantaties that measured by DSCOVR. 
2-Level 2 data: When DSCOVR measures wrong values and then switches to a backup weather station rather than attempting to recalibrate or mitigate the error to produce the level 2 data accurately. ","Machine Learning Regression / Adaptive Neural Network (ANN)
Satellite & Solar wind"
6,Eclipses: Perspective is Everything,"1-The problem:  people can experience eclipses when Earth, the Moon, and the Sun align. 
2-The Required solution: Your challenge is to create a game, activity, or story for young learners that explains the mechanics of eclipses, including eclipse seasons, how and why eclipses occur, and why only some people on Earth can see an eclipse at a given time.","-Understanding Earth-Sun-Moon alignment is crucial for lunar and solar eclipse differences. 
-Perspective, object distances, affects eclipse types: partial or total. 
-Earth's axis and Moon's orbit tilt change shadow placement.",Game dev / Video / Art
7,EMIT for the Future!,"1-The problem: EMIT has the potential to revolutionize this field of remote sensing, but if you haven't heard about this sensor, you're not alone! It's a new sensor in a field of science that is rapidly developing.
2-The Required solution: Your challenge is to develop an app that can help raise community awareness of what EMIT is, how it can be used, and what has already been accomplished with its data.",#NAME?,Web/Mobile App / Video
8,Everything Starts with Water,"1-The problem: Earth has 370 quintillion gallons of water – but only 0.01% of that is freshwater that we can use. As climate change alters the global water cycle, this precious resource is in danger of becoming even more scarce. 
2-The Required solution: Your challenge is to create a visual tool to help students better understand the complete path of water across the entire Earth system and how the availability of this critical resource is affected by our changing climate.","-Your target audience can include elementary, middle, or high school students—or students at multiple levels!
-Storytelling via data visualizations.
-Depict climate change impact.
-Explore human impacts on freshwater and climate.",App/ Infographic / Game / Video
9,Explore a Biodiversity Hotspot with Imaging Spectroscopy,"1-The problem: New imaging spectrometer data from NASA is dramatically improving our ability to measure and monitor biodiversity from space
2-The Required solution: Your challenge is to use publicly available imaging spectroscopy data to characterize and map a biodiversity hotspot in South Africa","-The BioSCape domain has a rectangular latitude/longitude bounding box (WGS84) of:
xmin=16.2, ymin=-35.56, xmax=27.76, ymax= -27.72.

Tips for EMIT data:
-EMIT Imaging Spectroscopy data (2022 launch) needs pre-processing.
-NASA's EMIT Data Tutorial Series","Data Visualization/ Web App / Art / data analysis
"
