ConsiderationID,ChallengeID,Consideration
1,1,
2,1,"The tool partcipants develop will run in a web browser, requiring the web page and associated code to be hosted on a server.2"
3,1,"Not everyone will want to create an online account to use your tool, so login credentials could be handled through third partie"
4,2,1
5,2,video accessible to everyone.2
6,2,"present information about Artemis II in a new way "" Creatvity"".3"
7,2,There may be multiple impacts that affect you and
8,2,or your community. Consider focusing on one or two that are the most important to you.
9,3,1
10,3,Geologists could use the app to advance geological research or to predict and
11,3,"or respond to disasters. Feel free to go “boulder,” as long as your solution features Earth’s geology! 2"
12,3,"Note: Check challnge link, there are many usful resources might benfit you there!"
13,4,1
14,4,"A model in a space biology “model zoo” uses an existing dataset of thousands of different RNA sequencing biomedical studies. Such a model could be leveraged for any combination of space biology RNA sequencing datasets in the NASA Open Science Data Repository (OSDR) (see Resources tab). However, OSDR has many different data types and it would be useful for the public, multi modal datasets and biological questions.
2"
15,4,"Additionally, it might be interesting to use different transfer learning model architectures to create the model zoo, and note the resulting effects."
16,5,1
17,5,"T he submissions will be judged by NASA experts based on creativity, innovation, and clarity.2"
18,5,"All NASA SAR data are publicly available, but you will need to register for an Earthdata Login Profile (see Resources) for access.3"
19,5,"Beginner SAR users may start with the Uninhabited Aerial Vehicle Synthetic Aperture Radar (UAVSAR) postcards, while more advanced users can explore the UAVSAR and NASA Earthdata search (see Resources)."
20,6,1
21,6,"Level 1 data: The Quantaties that measured by DSCOVR. 
2"
22,6,Level 2 data: When DSCOVR measures wrong values and then switches to a backup weather station rather than attempting to recalibrate or mitigate the error to produce the level 2 data accurately.
23,7,
24,7,Understanding Earth
25,7,Sun
26,7,Moon alignment is crucial for lunar and solar eclipse differences.
27,7,"Perspective, object distances, affects eclipse types: partial or total."
28,7,Earth's axis and Moon's orbit tilt change shadow placement.
29,8,#NAME?
30,9,
31,9,"Your target audience can include elementary, middle, or high school students—or students at multiple levels!"
32,9,Storytelling via data visualizations.
33,9,Depict climate change impact.
34,9,Explore human impacts on freshwater and climate.
35,10,
36,10,The BioSCape domain has a rectangular latitude
37,10,"longitude bounding box (WGS84) of:
xmin=16.2, ymin="
38,10,"35.56, xmax=27.76, ymax="
39,10,"27.72.

Tips for EMIT data:"
40,10,EMIT Imaging Spectroscopy data (2022 launch) needs pre
41,10,processing.
42,10,NASA's EMIT Data Tutorial Series
43,11,Consider beyond higher accuracy:
44,11,"Metrics: Reduce labeled data, save time, and resources."
45,11,"Data: Use existing datasets, prioritize efficiency."
46,11,Fine
47,11,"Tuning: Use available tools, optimize within constraints."
48,11,"Tooling: Utilize cloud resources, design scalable models."
49,11,Ethics: Mind societal
50,11,"environmental impacts, mitigate bias."
51,11,"Security: Comply with laws, protect sensitive data, respect privacy."
52,12,#NAME?
53,13,The spirit of this challenge is about innovatively communicating three
54,13,dimensional information
55,13,develop a hybrid visual
56,13,"sonified product, as long as the audio portion conveys enough of the data content"
57,13,A strong solution would include at least one example of an original sonification
58,13,An interesting add
